#Position,fname,lname,JerseyNumber,

# Uncomment line below to Set Salary Cap -> 198.2M
# SET(0x9ACCC, 0x38060300)


Team = DraftClass    Players:380
DE,Allan,Green,0,
DT,Hugh,Ryan,23,
T,Edward,Dunn,10,
TE,Floyd,Massey,38,
WR,Bobby,Griffith,88,
RB,Brandon,Simon,43,
QB,Kirk,Holmes,14,
TE,Oscar,Bryan,88,
RB,Tommie,Powers,28,
FB,Blake,Adams,31,
RB,Evan,Morrison,33,
G,Salvatore,Hall,64,
P,Craig,Davidson,3,
G,Craig,Carson,69,
K,Alejandro,Silva,8,
CB,Darnell,Vargas,21,
P,Stan,King,2,
T,Craig,Green,67,
G,Donnie,Osborne,66,
P,Franklin,Hoffman,6,
SS,Cecil,Rice,30,
CB,Tyrone,************,30,
T,James,Vaughn,74,
WR,Wayne,French,83,
C,Marcos,Mclaughlin,69,
K,Abraham,Maxwell,9,
CB,Pedro,Moran,39,
CB,Glen,Stephens,30,
C,Saul,Sparks,67,
FS,Lance,Riley,30,
CB,Alfonso,Meyer,20,
CB,Kurt,Garrett,22,
DT,Clayton,Thompson,95,
K,Larry,Nelson,7,
P,Merle,Santos,7,
C,Johnny,Bradley,73,
K,Alfredo,Wade,9,
OLB,Dwight,Curtis,57,
G,Alvin,Rhodes,70,
CB,Paul,Vaughn,29,
G,Geoffrey,Cross,61,
CB,Preston,Carson,32,
FB,Freddie,Robbins,33,
WR,Kurt,Webb,84,
SS,Ramon,Hopkins,23,
TE,Jimmy,Bell,84,
CB,Justin,Mendoza,35,
FS,Ricky,Becker,24,
DE,Brandon,Hudson,97,
ILB,Earnest,Chavez,57,
CB,Warren,Santiago,36,
WR,Rudy,Rhodes,89,
FB,Jonathon,Love,43,
WR,Ignacio,Page,85,
G,Darian,Norton,69,
T,Clayton,Weaver,70,
DE,Roland,Nichols,94,
G,Fernando,Sharp,75,
QB,Calvin,Fowler,12,
CB,Hugo,Osborne,38,
G,Doyle,Vargas,63,
G,Logan,Holmes,74,
CB,Aidan,Hogan,37,
RB,Roger,Wells,42,
P,Jerry,Hoffman,3,
C,Terry,French,68,
T,Dexter,Curry,72,
WR,Cesar,Chavez,88,
K,Preston,Alvarado,7,
WR,Darren,Maxwell,81,
C,Jonathon,Meyer,61,
OLB,Abel,McKinney,59,
WR,Roger,Cobb,86,
TE,Darrel,Rivera,86,
ILB,Wilfred,Jones,56,
QB,Jeff,Greene,8,
TE,Edward,Weaver,89,
TE,Bradford,Snyder,88,
WR,Preston,Mann,83,
TE,Herbert,Gray,86,
C,Darrel,Alvarado,71,
DE,Shaun,Hale,99,
T,Woodrow,Ford,71,
WR,Roosevelt,Chavez,81,
P,Bradford,Reese,6,
C,Jay,Bailey,65,
FB,Gabriel,Pratt,46,
C,Aaron,Hubbard,64,
